scheme,finetune,n,accuracy_mean,accuracy_sd,precision_mean,recall_mean,f1_mean,auc_mean,brier_mean
grayscale,False,5,0.9218780885216962,0.015520179135158187,0.9126177227566148,0.9156165667642616,0.9135341261099257,0.9764497927904893,0.058128769167415585
grayscale,True,5,0.9575157463532395,0.012937622717280342,0.9716789833986885,0.9324051423637079,0.9514382119736204,0.9888590105172907,0.03359568007279814
rgb,False,5,0.9471955347165755,0.013703242832331784,0.9421848184178436,0.9400338377969018,0.9410620865385433,0.9853207656882119,0.04130006840211266
rgb,True,5,0.9619258300891355,0.013530124739238711,0.9720400199492996,0.9416770527164766,0.9564866441398052,0.9905452659110562,0.030491478552437577
